Number,Year,Date,Source,Plant Height,Stem Diameter,Leaf Width,Leaf Length,NDVI,RVI,LNC,LNA,LAI,LDW,Photo Path,Sensor Path
111,2023,20230507,2023,20.8,nan,nan,nan,0.36,2.07,1.85,0.1,1.39,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
112,2023,20230507,2023,17.2,nan,nan,nan,0.39,2.03,1.8,0.12,1.43,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
113,2023,20230507,2023,17.8,nan,nan,nan,0.35,1.99,1.69,0.1,1.35,0.05,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
121,2023,20230507,2023,23.0,nan,nan,nan,0.42,2.23,2.0,0.13,1.47,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
122,2023,20230507,2023,26.0,nan,nan,nan,0.42,2.26,2.03,0.13,1.48,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
123,2023,20230507,2023,21.8,nan,nan,nan,0.37,2.27,2.07,0.13,1.51,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
211,2023,20230507,2023,18.4,nan,nan,nan,0.35,2.02,2.02,0.13,1.4,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
212,2023,20230507,2023,20.0,nan,nan,nan,0.37,2.26,2.0,0.14,1.45,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
213,2023,20230507,2023,18.7,nan,nan,nan,0.35,2.12,1.88,0.12,1.36,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
221,2023,20230507,2023,18.5,nan,nan,nan,0.36,2.2,1.95,0.12,1.42,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
222,2023,20230507,2023,19.7,nan,nan,nan,0.4,2.4,2.19,0.14,1.53,0.07,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
223,2023,20230507,2023,19.8,nan,nan,nan,0.37,2.13,2.09,0.14,1.42,0.06,"images/111,211/5_10_1.jpg;images/111,211/5_10_2.jpg;images/111,211/5_10_3.jpg;images/111,211/5_10_4.jpg;images/111,211/5_11_1.jpg",
214,2023,20230507,2023,23.0,nan,nan,nan,0.38,2.17,2.18,0.13,1.5,0.07,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
215,2023,20230507,2023,18.6,nan,nan,nan,0.39,1.06,2.69,0.17,1.61,0.08,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
216,2023,20230507,2023,21.0,nan,nan,nan,0.38,2.21,2.02,0.13,1.44,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
224,2023,20230507,2023,20.9,nan,nan,nan,0.39,2.29,2.01,0.13,1.47,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
225,2023,20230507,2023,19.0,nan,nan,nan,0.4,2.27,1.95,0.12,1.48,0.07,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
226,2023,20230507,2023,22.0,nan,nan,nan,0.38,2.24,2.01,0.13,1.41,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
311,2023,20230507,2023,14.6,nan,nan,nan,0.37,2.21,2.0,0.13,1.39,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
312,2023,20230507,2023,14.9,nan,nan,nan,0.36,2.16,1.95,0.11,1.32,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
313,2023,20230507,2023,17.4,nan,nan,nan,0.33,2.05,1.85,0.12,1.36,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
321,2023,20230507,2023,19.0,nan,nan,nan,0.35,2.13,1.93,0.13,1.37,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
322,2023,20230507,2023,23.0,nan,nan,nan,0.4,2.29,2.1,0.13,1.43,0.07,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
323,2023,20230507,2023,21.0,nan,nan,nan,0.39,2.31,2.1,0.15,1.43,0.06,"images/214,311/5_10_1.jpg;images/214,311/5_10_2.jpg;images/214,311/5_10_3.jpg;images/214,311/5_10_4.jpg;images/214,311/5_11_1.jpg",
314,2023,20230507,2023,19.6,nan,nan,nan,0.33,2.04,1.89,0.11,1.34,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
315,2023,20230507,2023,14.0,nan,nan,nan,0.36,2.24,2.02,0.12,1.4,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
316,2023,20230507,2023,18.3,nan,nan,nan,0.35,2.08,1.89,0.12,1.35,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
324,2023,20230507,2023,17.6,nan,nan,nan,0.37,2.14,1.99,0.12,1.44,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
325,2023,20230507,2023,19.0,nan,nan,nan,0.34,2.05,1.8,0.11,1.35,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
326,2023,20230507,2023,19.8,nan,nan,nan,0.42,2.37,2.22,0.16,1.53,0.07,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
711,2023,20230507,2023,16.4,nan,nan,nan,0.36,2.13,1.94,0.12,1.38,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
712,2023,20230507,2023,14.5,nan,nan,nan,0.38,2.2,2.01,0.13,1.43,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
713,2023,20230507,2023,14.7,nan,nan,nan,0.34,2.07,1.79,0.11,1.3,0.05,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
721,2023,20230507,2023,17.3,nan,nan,nan,0.4,2.36,2.08,0.12,1.37,0.06,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
722,2023,20230507,2023,22.4,nan,nan,nan,0.39,2.26,2.09,0.14,1.49,0.07,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
723,2023,20230507,2023,14.5,nan,nan,nan,0.42,2.35,2.2,0.15,1.51,0.07,"images/314,711/5_10_1.jpg;images/314,711/5_10_2.jpg;images/314,711/5_10_3.jpg;images/314,711/5_10_4.jpg;images/314,711/5_11_1.jpg",
714,2023,20230507,2023,17.0,nan,nan,nan,0.39,2.32,2.12,0.13,1.51,0.07,"images/714,999/5_10_1.jpg;images/714,999/5_10_2.jpg;images/714,999/5_10_3.jpg;images/714,999/5_10_4.jpg;images/714,999/5_11_1.jpg",
715,2023,20230507,2023,15.5,nan,nan,nan,0.44,2.66,2.43,0.18,1.65,0.07,"images/714,999/5_10_1.jpg;images/714,999/5_10_2.jpg;images/714,999/5_10_3.jpg;images/714,999/5_10_4.jpg;images/714,999/5_11_1.jpg",
716,2023,20230507,2023,16.0,nan,nan,nan,0.32,2.13,1.74,0.11,1.27,0.05,"images/714,999/5_10_1.jpg;images/714,999/5_10_2.jpg;images/714,999/5_10_3.jpg;images/714,999/5_10_4.jpg;images/714,999/5_11_1.jpg",
724,2023,20230507,2023,21.5,nan,nan,nan,0.42,2.3,2.15,0.15,1.56,0.07,"images/714,999/5_10_1.jpg;images/714,999/5_10_2.jpg;images/714,999/5_10_3.jpg;images/714,999/5_10_4.jpg;images/714,999/5_11_1.jpg",
725,2023,20230507,2023,16.4,nan,nan,nan,0.36,2.04,1.95,0.1,1.38,0.06,"images/714,999/5_10_1.jpg;images/714,999/5_10_2.jpg;images/714,999/5_10_3.jpg;images/714,999/5_10_4.jpg;images/714,999/5_11_1.jpg",
726,2023,20230507,2023,20.7,nan,nan,nan,0.42,2.48,2.35,0.17,1.65,0.07,"images/714,999/5_10_1.jpg;images/714,999/5_10_2.jpg;images/714,999/5_10_3.jpg;images/714,999/5_10_4.jpg;images/714,999/5_11_1.jpg",
411,2023,20230507,2023,17.5,nan,nan,nan,0.4,2.18,2.09,0.14,1.5,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
412,2023,20230507,2023,11.0,nan,nan,nan,0.36,2.23,2.04,0.13,1.47,0.07,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
413,2023,20230507,2023,13.5,nan,nan,nan,0.37,2.15,2.07,0.13,1.44,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
421,2023,20230507,2023,22.4,nan,nan,nan,0.41,2.2,2.19,0.14,1.5,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
422,2023,20230507,2023,24.4,nan,nan,nan,0.36,2.03,1.95,0.12,1.39,0.07,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
423,2023,20230507,2023,25.0,nan,nan,nan,0.39,2.47,2.31,0.13,1.49,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
511,2023,20230507,2023,13.4,nan,nan,nan,0.4,2.21,2.3,0.13,1.5,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
512,2023,20230507,2023,16.8,nan,nan,nan,0.41,2.42,2.09,0.14,1.45,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
513,2023,20230507,2023,19.1,nan,nan,nan,0.39,72.19,2.06,0.13,1.37,0.06,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
521,2023,20230507,2023,20.5,nan,nan,nan,0.39,2.33,2.15,0.13,1.46,0.63,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
522,2023,20230507,2023,16.4,nan,nan,nan,0.41,2.41,2.37,0.18,1.49,0.07,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
523,2023,20230507,2023,20.2,nan,nan,nan,0.36,2.37,2.15,0.15,1.47,0.07,"images/511,411/5_10_1.jpg;images/511,411/5_10_2.jpg;images/511,411/5_10_3.jpg;images/511,411/5_10_4.jpg;images/511,411/5_11_1.jpg",
517,2023,20230507,2023,15.8,nan,nan,nan,0.41,2.37,2.27,0.15,1.52,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
518,2023,20230507,2023,17.6,nan,nan,nan,0.41,2.25,2.09,0.14,1.45,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
519,2023,20230507,2023,14.8,nan,nan,nan,0.41,2.24,2.23,0.15,1.54,0.07,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
527,2023,20230507,2023,18.6,nan,nan,nan,0.41,2.39,2.18,0.15,1.54,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
528,2023,20230507,2023,21.3,nan,nan,nan,0.41,2.44,2.27,0.17,1.59,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
529,2023,20230507,2023,17.8,nan,nan,nan,0.41,2.45,2.17,0.16,1.52,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
614,2023,20230507,2023,21.0,nan,nan,nan,0.41,2.31,2.27,0.14,1.48,0.08,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
615,2023,20230507,2023,14.4,nan,nan,nan,0.41,2.35,2.25,0.15,1.5,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
616,2023,20230507,2023,14.0,nan,nan,nan,0.41,2.4,2.23,0.15,1.46,0.06,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
624,2023,20230507,2023,18.2,nan,nan,nan,0.4,2.34,2.26,0.16,1.55,0.07,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
625,2023,20230507,2023,21.5,nan,nan,nan,0.41,2.39,2.23,0.16,1.51,0.07,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
626,2023,20230507,2023,22.5,nan,nan,nan,0.42,2.44,2.31,0.14,1.55,0.07,"images/517,614/5_10_1.jpg;images/517,614/5_10_2.jpg;images/517,614/5_10_3.jpg;images/517,614/5_10_4.jpg;images/517,614/5_11_1.jpg",
514,2023,20230507,2023,18.6,nan,nan,nan,0.45,2.58,2.47,0.18,1.64,0.07,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
515,2023,20230507,2023,13.6,nan,nan,nan,0.4,2.23,2.17,0.15,1.51,0.07,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
516,2023,20230507,2023,15.8,nan,nan,nan,0.38,2.24,2.11,0.15,1.39,0.06,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
524,2023,20230507,2023,17.5,nan,nan,nan,0.3,0.87,1.68,-0.07,0.67,0.03,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
525,2023,20230507,2023,20.4,nan,nan,nan,0.4,2.38,2.29,0.16,1.42,0.06,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
526,2023,20230507,2023,23.2,nan,nan,nan,0.39,2.2,2.08,0.15,1.49,0.06,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
611,2023,20230507,2023,15.6,nan,nan,nan,0.41,2.42,2.28,0.15,1.54,0.06,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
612,2023,20230507,2023,16.6,nan,nan,nan,0.42,2.42,2.2,0.15,1.54,0.07,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
613,2023,20230507,2023,16.4,nan,nan,nan,0.41,2.43,2.37,0.17,1.57,0.07,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
621,2023,20230507,2023,21.4,nan,nan,nan,0.43,2.61,2.37,0.15,1.58,0.07,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
622,2023,20230507,2023,21.6,nan,nan,nan,0.4,2.33,2.31,0.15,1.54,0.07,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
623,2023,20230507,2023,20.6,nan,nan,nan,0.43,2.45,2.4,0.16,1.48,0.06,"images/514,611/5_10_1.jpg;images/514,611/5_10_2.jpg;images/514,611/5_10_3.jpg;images/514,611/5_10_4.jpg;images/514,611/5_11_1.jpg",
111,2023,20230508,2023,20.9,nan,nan,nan,0.37,2.15,1.93,0.11,1.43,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
112,2023,20230508,2023,18.0,nan,nan,nan,0.4,2.08,1.87,0.13,1.47,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
113,2023,20230508,2023,20.6,nan,nan,nan,0.36,2.03,1.74,0.11,1.38,0.05,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
121,2023,20230508,2023,25.7,nan,nan,nan,0.44,2.28,2.05,0.14,1.5,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
122,2023,20230508,2023,29.9,nan,nan,nan,0.43,2.34,2.1,0.14,1.53,0.07,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
123,2023,20230508,2023,24.1,nan,nan,nan,0.38,2.33,2.15,0.14,1.55,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
211,2023,20230508,2023,19.5,nan,nan,nan,0.37,2.11,2.09,0.14,1.44,0.07,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
212,2023,20230508,2023,22.2,nan,nan,nan,0.38,2.33,2.07,0.15,1.49,0.07,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
213,2023,20230508,2023,20.1,nan,nan,nan,0.36,2.17,1.94,0.12,1.39,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
221,2023,20230508,2023,20.2,nan,nan,nan,0.37,2.26,2.01,0.13,1.46,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
222,2023,20230508,2023,19.4,nan,nan,nan,0.41,2.47,2.26,0.15,1.58,0.07,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
223,2023,20230508,2023,21.3,nan,nan,nan,0.38,2.21,2.12,0.14,1.45,0.06,"images/111,211/5_11_2.jpg;images/111,211/5_11_3.jpg;images/111,211/5_11_4.jpg;images/111,211/5_12_1.jpg;images/111,211/5_12_2.jpg",
214,2023,20230508,2023,25.6,nan,nan,nan,0.39,2.22,2.24,0.13,1.53,0.07,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
215,2023,20230508,2023,20.5,nan,nan,nan,0.4,1.49,2.78,0.19,1.67,0.08,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
216,2023,20230508,2023,22.4,nan,nan,nan,0.39,2.28,2.08,0.13,1.48,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
224,2023,20230508,2023,24.3,nan,nan,nan,0.4,2.33,2.06,0.13,1.49,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
225,2023,20230508,2023,20.9,nan,nan,nan,0.41,2.34,2.0,0.13,1.51,0.07,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
226,2023,20230508,2023,26.3,nan,nan,nan,0.38,2.28,2.05,0.14,1.43,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
311,2023,20230508,2023,16.1,nan,nan,nan,0.38,2.28,2.07,0.14,1.42,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
312,2023,20230508,2023,19.1,nan,nan,nan,0.37,2.22,2.02,0.12,1.34,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
313,2023,20230508,2023,17.1,nan,nan,nan,0.34,2.12,1.92,0.13,1.4,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
321,2023,20230508,2023,21.3,nan,nan,nan,0.36,2.17,1.98,0.13,1.39,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
322,2023,20230508,2023,26.3,nan,nan,nan,0.41,2.34,2.16,0.13,1.44,0.07,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
323,2023,20230508,2023,26.1,nan,nan,nan,0.4,2.4,2.19,0.17,1.48,0.06,"images/214,311/5_11_2.jpg;images/214,311/5_11_3.jpg;images/214,311/5_11_4.jpg;images/214,311/5_12_1.jpg;images/214,311/5_12_2.jpg",
314,2023,20230508,2023,22.8,nan,nan,nan,0.34,2.09,1.95,0.12,1.37,0.06,"images/314,711/5_11_2.jpg;images/314,711/5_11_3.jpg;images/314,711/5_11_4.jpg;images/314,711/5_12_1.jpg;images/314,711/5_12_2.jpg",
315,2023,20230508,2023,15.6,nan,nan,nan,0.37,2.31,2.09,0.13,1.44,0.06,"images/314,711/5_11_2.jpg;images/314,711/5_11_3.jpg;images/314,711/5_11_4.jpg;images/314,711/5_12_1.jpg;images/314,711/5_12_2.jpg",
316,2023,20230508,2023,22.4,nan,nan,nan,0.36,2.12,1.94,0.13,1.38,0.06,"images/314,711/5_11_2.jpg;images/314,711/5_11_3.jpg;images/314,711/5_11_4.jpg;images/314,711/5_12_1.jpg;images/314,711/5_12_2.jpg",
324,2023,20230508,2023,21.6,nan,nan,nan,0.38,2.18,2.03,0.13,1.47,0.06,"images/314,711/5_11_2.jpg;images/314,711/5_11_3.jpg;images/314,711/5_11_4.jpg;images/314,711/5_12_1.jpg;images/314,711/5_12_2.jpg",
